epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,161.586,1.34358,1.35365,0.94589,0.83752,0.79,0.88477,0.59722,1.03053,1.05987,0.89546,0.000664,0.000664,0.000664
2,275.031,1.0495,0.74817,0.88391,0.87648,0.84485,0.90963,0.60818,1.06941,0.81808,0.91379,0.00130432,0.00130432,0.00130432
3,380.02,1.01434,0.67353,0.87441,0.89384,0.86559,0.92242,0.63699,0.92383,0.64507,0.87818,0.00191824,0.00191824,0.00191824
4,484.521,0.94397,0.60429,0.86471,0.92467,0.87866,0.93258,0.65092,0.89383,0.58963,0.86483,0.0018812,0.0018812,0.0018812
5,588.534,0.9087,0.56127,0.85822,0.92589,0.88278,0.9336,0.67103,0.89039,0.53669,0.86712,0.0018416,0.0018416,0.0018416
6,687.838,0.88113,0.53172,0.85675,0.92744,0.89471,0.9395,0.68767,0.82266,0.55961,0.85287,0.001802,0.001802,0.001802
7,787.701,0.85637,0.51171,0.84911,0.94944,0.88403,0.94331,0.69614,0.83332,0.5049,0.85374,0.0017624,0.0017624,0.0017624
8,886.5,0.8387,0.50013,0.84745,0.9398,0.88889,0.9421,0.68249,0.87065,0.49903,0.85795,0.0017228,0.0017228,0.0017228
9,987.848,0.82085,0.48386,0.8437,0.9339,0.88984,0.94627,0.70736,0.79648,0.47198,0.85428,0.0016832,0.0016832,0.0016832
10,1087.99,0.80931,0.47264,0.8383,0.92836,0.9047,0.94522,0.72118,0.79138,0.45859,0.84842,0.0016436,0.0016436,0.0016436
11,1187.49,0.80349,0.46834,0.83903,0.94797,0.90947,0.94765,0.71569,0.79508,0.47254,0.85372,0.001604,0.001604,0.001604
12,1286.57,0.77876,0.45428,0.83788,0.94991,0.90376,0.94795,0.728,0.78713,0.46334,0.8446,0.0015644,0.0015644,0.0015644
13,1385.77,0.78778,0.45798,0.83729,0.94132,0.89912,0.94533,0.71766,0.75443,0.46492,0.84091,0.0015248,0.0015248,0.0015248
14,1486.89,0.7596,0.44373,0.83625,0.93977,0.91238,0.94834,0.73042,0.6913,0.43216,0.83279,0.0014852,0.0014852,0.0014852
15,1586.78,0.7507,0.43597,0.83397,0.94608,0.9075,0.94794,0.72888,0.7411,0.45649,0.84169,0.0014456,0.0014456,0.0014456
16,1687.02,0.7444,0.42788,0.83105,0.94319,0.91721,0.94919,0.72349,0.73482,0.44069,0.83866,0.001406,0.001406,0.001406
17,1788.83,0.7463,0.43064,0.83062,0.94648,0.91133,0.94724,0.73022,0.75622,0.4581,0.84035,0.0013664,0.0013664,0.0013664
18,1888.7,0.73892,0.42463,0.83026,0.94457,0.91285,0.9508,0.74277,0.73539,0.4233,0.84677,0.0013268,0.0013268,0.0013268
19,1987.38,0.73332,0.41899,0.82737,0.95526,0.91352,0.9494,0.74513,0.71679,0.43125,0.83747,0.0012872,0.0012872,0.0012872
20,2086.44,0.72565,0.41749,0.82789,0.94744,0.91181,0.94552,0.7402,0.73565,0.43753,0.84027,0.0012476,0.0012476,0.0012476
21,2186.48,0.71447,0.41228,0.82752,0.94836,0.91494,0.94857,0.74661,0.72555,0.42764,0.83866,0.001208,0.001208,0.001208
