epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,210.809,1.04885,0.86856,0.89893,0.89328,0.88178,0.93292,0.67506,0.90287,0.55121,0.89132,0.000664,0.000664,0.000664
2,420.101,0.87858,0.53395,0.85749,0.91636,0.87594,0.93536,0.68092,0.92731,0.5306,0.86952,0.00130432,0.00130432,0.00130432
3,637.419,0.8568,0.50399,0.85076,0.93895,0.90765,0.94768,0.70966,0.78481,0.49726,0.84407,0.00191824,0.00191824,0.00191824
4,850.678,0.80693,0.46906,0.8459,0.95465,0.91128,0.95052,0.71221,0.80793,0.45248,0.85799,0.0018812,0.0018812,0.0018812
5,1015.96,0.77739,0.45515,0.8384,0.96261,0.91683,0.94821,0.72066,0.75492,0.46863,0.84374,0.0018416,0.0018416,0.0018416
6,1118.68,0.75858,0.43832,0.8378,0.96297,0.9238,0.95431,0.74252,0.73543,0.41513,0.84556,0.001802,0.001802,0.001802
7,1219.75,0.7308,0.4197,0.83222,0.95826,0.92962,0.95917,0.75136,0.73261,0.41827,0.84181,0.0017624,0.0017624,0.0017624
8,1317.5,0.72247,0.41572,0.83095,0.95891,0.91844,0.95038,0.73073,0.73109,0.44717,0.84403,0.0017228,0.0017228,0.0017228
9,1419.69,0.71626,0.4131,0.82919,0.95992,0.9318,0.95702,0.75945,0.69865,0.42355,0.8316,0.0016832,0.0016832,0.0016832
10,1515.83,0.7024,0.39683,0.82406,0.95956,0.92595,0.95436,0.74186,0.72493,0.4155,0.8323,0.0016436,0.0016436,0.0016436
11,1613.44,0.69218,0.3945,0.82399,0.95756,0.92965,0.95725,0.76385,0.68868,0.42152,0.83431,0.001604,0.001604,0.001604
12,1777,0.67566,0.38585,0.82346,0.96262,0.92773,0.95353,0.75262,0.68074,0.42671,0.82848,0.0015644,0.0015644,0.0015644
13,1984.53,0.67763,0.38972,0.82228,0.96705,0.92327,0.95503,0.75742,0.67242,0.39985,0.83812,0.0015248,0.0015248,0.0015248
14,2195.95,0.65404,0.37532,0.82216,0.96193,0.93337,0.95406,0.76183,0.67122,0.4519,0.83204,0.0014852,0.0014852,0.0014852
15,2411.8,0.66093,0.37772,0.82188,0.96454,0.92509,0.95363,0.75946,0.66878,0.42983,0.83749,0.0014456,0.0014456,0.0014456
16,2622.3,0.64798,0.37193,0.81894,0.96449,0.93398,0.95858,0.76849,0.65854,0.38901,0.82968,0.001406,0.001406,0.001406
17,2826.57,0.65037,0.36717,0.81815,0.97063,0.92716,0.95956,0.77121,0.63076,0.38406,0.82381,0.0013664,0.0013664,0.0013664
18,3035.47,0.63061,0.35877,0.81677,0.96717,0.93284,0.96015,0.77068,0.63328,0.35824,0.82891,0.0013268,0.0013268,0.0013268
19,3236.28,0.62433,0.35452,0.8142,0.97047,0.93151,0.95929,0.77493,0.63921,0.36759,0.82978,0.0012872,0.0012872,0.0012872
20,3440.72,0.61904,0.35086,0.81362,0.97076,0.92452,0.9533,0.77371,0.63923,0.35665,0.82775,0.0012476,0.0012476,0.0012476
21,3624.72,0.61203,0.34847,0.81456,0.97155,0.93481,0.95955,0.78031,0.61955,0.34462,0.82491,0.001208,0.001208,0.001208
22,3741.63,0.60589,0.34257,0.81211,0.96359,0.93331,0.95631,0.78902,0.62507,0.35681,0.8249,0.0011684,0.0011684,0.0011684
23,3854.12,0.60485,0.34068,0.81152,0.97114,0.9353,0.96065,0.78293,0.62688,0.34436,0.82879,0.0011288,0.0011288,0.0011288
24,3965.32,0.60449,0.34137,0.81438,0.96575,0.93701,0.9618,0.78964,0.6416,0.36316,0.82785,0.0010892,0.0010892,0.0010892
25,4091.66,0.59388,0.33534,0.81036,0.97153,0.92779,0.96146,0.78675,0.62439,0.34369,0.82731,0.0010496,0.0010496,0.0010496
26,4201.58,0.59493,0.33675,0.81055,0.97363,0.93748,0.96259,0.79254,0.61947,0.33777,0.82421,0.00101,0.00101,0.00101
