epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,125.036,1.61721,2.1055,0.00298,0.65995,0.684,0.72273,0.43432,1.29284,2.36582,0.00322,0.000664,0.000664,0.000664
2,254.345,1.36559,1.21407,0.00236,0.71424,0.77846,0.81552,0.5239,1.18204,1.35098,0.00283,0.00130432,0.00130432,0.00130432
3,382.333,1.35804,0.99283,0.00228,0.77729,0.77901,0.85945,0.58793,1.15338,0.85525,0.00283,0.00191824,0.00191824,0.00191824
4,500.041,1.29701,0.84173,0.00223,0.8196,0.81709,0.87493,0.63072,1.14843,0.76508,0.0028,0.0018812,0.0018812,0.0018812
5,607.223,1.24187,0.77466,0.00209,0.85375,0.80165,0.89194,0.64297,1.07259,0.74169,0.0026,0.0018416,0.0018416,0.0018416
6,713.647,1.20761,0.71723,0.00207,0.84629,0.8349,0.89711,0.64579,1.12104,0.68343,0.00273,0.001802,0.001802,0.001802
7,819.1,1.18721,0.67219,0.00199,0.87317,0.83063,0.90778,0.65733,1.05924,0.63189,0.00256,0.0017624,0.0017624,0.0017624
8,921.49,1.15746,0.63509,0.00191,0.8692,0.84295,0.91223,0.65905,1.12512,0.61855,0.00259,0.0017228,0.0017228,0.0017228
9,1024.82,1.16548,0.61794,0.00192,0.88273,0.84607,0.9143,0.65191,1.09271,0.62741,0.00261,0.0016832,0.0016832,0.0016832
10,1131.71,1.15643,0.60053,0.00188,0.87833,0.83357,0.91546,0.67336,1.03407,0.58,0.00248,0.0016436,0.0016436,0.0016436
11,1235.66,1.1229,0.58447,0.00182,0.90042,0.8744,0.93213,0.68706,0.99797,0.56923,0.00239,0.001604,0.001604,0.001604
12,1341.44,1.09721,0.55949,0.00182,0.89733,0.87178,0.9335,0.69947,0.99117,0.53227,0.00237,0.0015644,0.0015644,0.0015644
13,1448.64,1.11025,0.55126,0.00178,0.89402,0.86139,0.92966,0.67808,1.02323,0.52093,0.00242,0.0015248,0.0015248,0.0015248
14,1556.83,1.08381,0.5339,0.00179,0.89383,0.86189,0.92933,0.69007,1.02929,0.57311,0.00241,0.0014852,0.0014852,0.0014852
15,1662.58,1.06405,0.51927,0.00174,0.91742,0.86729,0.93546,0.68647,1.06756,0.52274,0.00257,0.0014456,0.0014456,0.0014456
16,1772.72,1.05967,0.51376,0.00171,0.91919,0.87752,0.9381,0.69942,1.01549,0.49074,0.00238,0.001406,0.001406,0.001406
17,1879.89,1.05725,0.50522,0.0017,0.91066,0.87923,0.93434,0.71079,0.99108,0.51199,0.00236,0.0013664,0.0013664,0.0013664
18,1985.5,1.04667,0.4941,0.00171,0.9085,0.88074,0.93721,0.6943,1.07127,0.53829,0.00259,0.0013268,0.0013268,0.0013268
19,2089.47,1.04255,0.4862,0.00167,0.91932,0.89258,0.94264,0.72907,0.95022,0.50861,0.00225,0.0012872,0.0012872,0.0012872
20,2193.48,1.01968,0.47266,0.00164,0.91487,0.87771,0.93826,0.71643,0.96226,0.48235,0.00233,0.0012476,0.0012476,0.0012476
21,2298.74,1.01015,0.46529,0.00163,0.93192,0.88437,0.94432,0.71409,0.96121,0.47214,0.00223,0.001208,0.001208,0.001208
22,2408.69,1.01564,0.46286,0.00162,0.93379,0.89507,0.9472,0.72413,0.95056,0.43426,0.00222,0.0011684,0.0011684,0.0011684
23,2515.3,1.02025,0.46436,0.0016,0.92862,0.89097,0.9454,0.7256,0.95098,0.49982,0.00222,0.0011288,0.0011288,0.0011288
24,2619.19,0.99381,0.45227,0.00159,0.93216,0.89287,0.94851,0.73127,0.96053,0.4864,0.00225,0.0010892,0.0010892,0.0010892
25,2724.31,1.00781,0.4529,0.00157,0.93723,0.89666,0.9483,0.73281,0.98099,0.4995,0.00228,0.0010496,0.0010496,0.0010496
26,2834.27,0.99661,0.44965,0.00157,0.9297,0.89063,0.94752,0.73468,0.94608,0.4669,0.00219,0.00101,0.00101,0.00101
27,2957.05,0.98504,0.44026,0.00156,0.92716,0.88614,0.9458,0.72973,0.95948,0.47038,0.00228,0.0009704,0.0009704,0.0009704
28,3093.64,0.97337,0.43315,0.00155,0.92386,0.88848,0.94691,0.73258,0.96485,0.461,0.00223,0.0009308,0.0009308,0.0009308
29,3207.39,0.96627,0.42705,0.00153,0.93618,0.88662,0.95,0.73518,0.96334,0.45761,0.00227,0.0008912,0.0008912,0.0008912
30,3324.75,0.95724,0.42813,0.00153,0.93209,0.89189,0.9483,0.74118,0.91372,0.4487,0.00216,0.0008516,0.0008516,0.0008516
31,3435.66,0.95804,0.42191,0.00152,0.92986,0.89097,0.94779,0.7291,0.95776,0.46102,0.00226,0.000812,0.000812,0.000812
32,3544.58,0.94007,0.42029,0.0015,0.91607,0.90256,0.94675,0.74088,0.94221,0.4951,0.00221,0.0007724,0.0007724,0.0007724
33,3652.24,0.95732,0.42631,0.0015,0.93184,0.88582,0.94865,0.73874,0.94373,0.47646,0.00221,0.0007328,0.0007328,0.0007328
34,3764.67,0.92656,0.408,0.00146,0.9267,0.90007,0.9516,0.74569,0.92763,0.46431,0.00216,0.0006932,0.0006932,0.0006932
35,3871.56,0.92921,0.41028,0.00147,0.93067,0.90027,0.94989,0.74689,0.91546,0.4481,0.00211,0.0006536,0.0006536,0.0006536
36,3983.31,0.9269,0.40955,0.00147,0.93144,0.89306,0.94954,0.7431,0.95113,0.47199,0.00218,0.000614,0.000614,0.000614
37,4097.65,0.92657,0.40552,0.00145,0.92857,0.90139,0.94998,0.74725,0.9238,0.46648,0.00213,0.0005744,0.0005744,0.0005744
38,4233.21,0.92574,0.40392,0.00143,0.92781,0.89726,0.9494,0.74581,0.91515,0.44997,0.00212,0.0005348,0.0005348,0.0005348
39,4372.04,0.92555,0.4047,0.00144,0.93121,0.89798,0.94881,0.74482,0.91974,0.46964,0.00212,0.0004952,0.0004952,0.0004952
40,4487.99,0.92498,0.40257,0.00143,0.92502,0.90196,0.94874,0.74949,0.92745,0.47976,0.00213,0.0004556,0.0004556,0.0004556
41,4581.16,0.84239,0.37346,0.00152,0.93531,0.89552,0.95023,0.74449,0.92323,0.4791,0.00213,0.000416,0.000416,0.000416
42,4678.85,0.81596,0.35534,0.00146,0.93238,0.90122,0.95207,0.74481,0.95491,0.45596,0.0022,0.0003764,0.0003764,0.0003764
43,4777.39,0.80795,0.35108,0.00143,0.92872,0.90212,0.94993,0.74642,0.92716,0.47789,0.00213,0.0003368,0.0003368,0.0003368
44,4873.47,0.79322,0.3507,0.00142,0.92902,0.89885,0.94965,0.74544,0.92718,0.48535,0.00213,0.0002972,0.0002972,0.0002972
45,4967.95,0.79481,0.35554,0.00141,0.9219,0.90689,0.94914,0.74746,0.93498,0.47504,0.00215,0.0002576,0.0002576,0.0002576
46,5063.63,0.7743,0.33945,0.00141,0.92482,0.90196,0.95002,0.75018,0.91883,0.48035,0.00211,0.000218,0.000218,0.000218
47,5159.73,0.78231,0.34211,0.0014,0.93039,0.90935,0.95055,0.74925,0.90693,0.47919,0.00207,0.0001784,0.0001784,0.0001784
48,5253.27,0.77629,0.34149,0.00138,0.92666,0.90596,0.95014,0.74695,0.93502,0.49562,0.00214,0.0001388,0.0001388,0.0001388
49,5350.12,0.77488,0.34095,0.00137,0.92761,0.90554,0.95092,0.74945,0.92751,0.48753,0.00212,9.92e-05,9.92e-05,9.92e-05
50,5448.38,0.77607,0.33483,0.00137,0.92765,0.90452,0.95133,0.75212,0.91475,0.47898,0.00208,5.96e-05,5.96e-05,5.96e-05
